image,name,orientation,title,title2,type,trigger1,triggerValue1,rules1,boostable1,rulesValue1,trigger2,triggerValue2,rules2,boostable2,rulesValue2
IntelligentRodents.png,card.01,vertical,Intelligent Rodents,,flesh,Before you graverob,1,Add the top {n} cards of the deck to the morgue.,TRUE,0,Before you rant,2,Discard any number of cards.,,0
BrainInAJar.png,card.02,vertical,Brain in a Jar,,flesh,When you finish this,0,"Discard a finished gadget, and gain 2 minions of the same type.",,1,After you Craft using metal,0,Draw 2 cards and discard a card from the morgue.,,2
GlowyGreenThings.png,card.03,vertical,Glowy green things,,flesh,Always,A,Your finished gadgets may hold +{n} tokens each.,TRUE,2,When you Transmute,1,"Discard a finished gadget, and gain 2 minions of the same type.",,1
HumanoidCat.png,card.04,vertical,Humanoid Cat,,flesh,When you finish this,0,Hypnotize {n} cards from the morgue.,TRUE,3,After you are Transmuted,0,Hypnotize a minion from your hand.,,2
BoneTeleportationNetwork.png,card.05,vertical,Bone Tele-Network,,flesh,When you Tinker,1,Discard a token from a finished gadget to gain a Repairman minion.,,1,When you rant,2,Draw 2 cards then discard 2 cards.,,1
ZombieCannon.png,card.06,vertical,Zombie Cannon,,flesh,When you finish this,0,Discard all flesh cards from the morgue. Add 2 tokens to this for each.,,2,Always,A,+3 infamy.,,2
Biggerizer.png,card.07,vertical,Biggerizer,,trash,When you finish this,0,Add a {n} tokens to every card in play.,TRUE,1,When you are Transmuted,0,Draw a card and then add a token to {n} of your gadgets.,TRUE,2
VolcanicProbe.png,card.08,vertical,Volcanic Probe,,trash,After you Rant,2,"Draw up to 4 additional cards. If you do, return this to your hand.",,1,When an opponent plays a wild,1,Rant.,,2
RevivificationMatrix.png,card.09,vertical,Revivification Matrix,,trash,When you finish this,0,Swap this with a card in the morgue.,,1,When you Repair,1,Discard a minion to finish the top card of the deck.,,1
TissueDisruptor.png,card.10,vertical,Tissue Disruptor,,trash,When you finish this,0,"Discard this to immediately finish a card in your hand, then draw a card.",,2,After you Tinker,1,Rotate up to {n} of your finished gadgets.,TRUE,1
EthericCompass.png,card.11,vertical,Etheric Compass,,trash,When you Transmute,1,Discard a card from your hand to gain access to a gadget.,,1,After turns where you Tinker,0,Rant,,2
PollutionAmplifier.png,card.12,vertical,Pollution Amplifier,,trash,After you Tinker,1,Draw a card then discard a card from the morgue.,,1,Before you Craft,1,Draw a card. Discard a card to add a token to an unfinished gadget.,,1
HelperBot.png,card.13,vertical,Helper-bot,,steam,After you play a wild role,1,Draw {n} cards.,TRUE,3,When you finish this,0,Discard every card in your hand. Add 2{x} as many tokens to finished gadgets.,,3
GravityEngine.png,card.14,vertical,Gravity Engine,,steam,When you Craft,1,Discard a card from the morgue. Add a token to an unfinished gadget,,2,When you are Transmuted,0,Draw {n} cards.,TRUE,3
TemporalClacker.png,card.15,vertical,Temporal Clacker,,steam,After you Repair,1,Discard a card from your hand and then Rant.,,2,When you Craft,1,Add {n} tokens to any boostable gadget you complete.,TRUE,3
NefariousTurbine.png,card.16,vertical,Nefarious Turbine,,steam,When you finish this,0,Exchange a tucked card for an opponent's gadget of the same total infamy.,,3,Always,A,You are immune to Transmutation.,,3
Birdbath.png,card.17,vertical,Birdbath,,steam,When you finish this,0,Discard the cards in the morgue. Add their infamy to your gadgets as tokens.,,3,When you rant,2,Discard n minions to finish the top card of the deck n times.,,2
Personificationizer.png,card.18,vertical,Personificationizer,,steam,When you build,1,You may treat any gadget as flesh if it needs only 1 more material to finish.,,2,Always,A,Your unfinished metal gadgets provide you with infamy.,,3
AntimemeticWeapon.png,card.19,vertical,Antimemetic Weapon,,electrical,When you Transmute,1,Discard a card from the morgue. Gain access to an additional gadget.,,2,When you finish this,0,"Draw a card per minion you have, and discard every card in the morgue.",,3
AbstractDevice.png,card.20,vertical,Abstract Device,,electrical,When you graverob,1,Graverob up to {n} cards from your hand.,TRUE,2,When you rant,2,Draw a card.,,1
IonizationEngine.png,card.21,vertical,Ionization Engine,,electrical,Before you Transmute,1,Convert up to {n} of your minions to Transmuter minions.,TRUE,2,Always,A,"When you add a material to a gadget, finish it.",,3
BaghdadCapacitor.png,card.22,vertical,Baghdad Capacitor,,electrical,When this leaves play,0,Add 1 token to each of your gadgets (finished and unfinished).,,3,Always,A,Your metal gadgets (finished and unfinished) are worth +{n} infamy each.,TRUE,3
Hypno-crown.png,card.23,vertical,Hypno-crown,,electrical,When you Hypnotize,1,Hypnotize a minion from your hand.,,2,Always,A,Your Hypnotist minions count as every role.,,3
CarapaceFertilizer.png,card.24,vertical,Carapace Fertilizer,,electrical,When you finish this,0,Add 5 tokens to finished gadgets you own.,,3,When you finish this,0,Craft any number of times.,,3
SevenMinuteBoots.png,card.25,vertical,Seven Minute Boots,,metal,At the start of your turn,2,"If you have 1 minion of each role, you win.",,4,During your turn,2,Your opponents may not rant.,,3
AutoCrammer.png,card.26,vertical,AutoCrammer,,metal,When you rant,2,Discard any number of tokens on this to Hypnotize that many times.,,3,At the end of your turn,2,Hypnotize the top card of the deck if it's infamy matches your hand count.,,2
DeathRay.png,card.27,vertical,Death Ray,,metal,When you activate a minion,3,Discard a minion to perform its action +2 times.,,3,Always,A,You may Hypnotize other players' minions if they have more than you.,,3
KineticAccumulator.png,card.28,vertical,Kinetic Accumulator,,metal,At the start of your turn,2,Draw 2 cards.,,2,When you Hypnotize,1,Add {n} tokens to a gadget you own.,TRUE,4
ChronometricCoupler.png,card.29,vertical,Chronometric Coupler,,metal,When you Craft or Tinker,2,Your minions may perform their actions {n} times each.,TRUE,4,When you Hypnotize,1,Gain {n} minions.,TRUE,4
theIronMidas.png,card.30,vertical,the Iron Midas,,metal,When you build,3,You may treat any material as metal.,,2,When you build,3,Your gadgets require 1 fewer materials to finish.,,4
DrDoomDevice.png,card.31,vertical,Dr. Doom Device,,chemical,Always,A,"If you have 4 gadgets of the same type of material at any time, you win.",,4,At the start of your turn,2,You may end the game immediately. Score as usual.,,3
SpatialAnomalizer.png,card.32,vertical,Spatial Anomalizer,,chemical,At the end of your turn,2,Rant.,,2,When you Repair,1,Add {n} additional tokens to any card you add a token to.,TRUE,4
ConcotionOfHappiness.png,card.33,vertical,Concotion of Happiness,,chemical,When you Tinker,1,Discard a card from the morgue. Add {n} tokens to a finished gadget.,TRUE,3,After you Repair,1,Discard a card to reallocate all your minions.,,4
CollapsingGun.png,card.34,vertical,Collapsing Gun,,chemical,After you Transmute,1,Move a token from an opponent's gadget to yours.,,3,When following,3,All your minions count as Craftsmen.,,3
TrenchcoatGenerator.png,card.35,vertical,Trenchcoat Generator,,chemical,When following,3,Discard n cards from the morgue of the active role to perform that action n{x}.,,2,Always,A,When the game ends score your minions twice.,,3
VampirePepper.png,card.36,vertical,Vampire-Pepper,,chemical,When you gain a minion,2,Take {n} cards from the morgue.,TRUE,3,When you rant,2,Draw cards equal to the number of Repairman minions you have.,,2
fleshBack.png,card.back.01.03,vertical,Graverobber,Flesh,flesh,,,,,,,,,,
fleshBack.png,card.back.02.02,vertical,Graverobber,Flesh,flesh,,,,,,,,,,
fleshBack.png,card.back.03.01,vertical,Graverobber,Flesh,flesh,,,,,,,,,,
fleshBack.png,card.back.11.06,vertical,Graverobber,Flesh,flesh,,,,,,,,,,
fleshBack.png,card.back.12.05,vertical,Graverobber,Flesh,flesh,,,,,,,,,,
fleshBack.png,card.back.13.04,vertical,Graverobber,Flesh,flesh,,,,,,,,,,
trashBack.png,card.back.21.33,vertical,Repairman,Trash,trash,,,,,,,,,,
trashBack.png,card.back.22.32,vertical,Repairman,Trash,trash,,,,,,,,,,
trashBack.png,card.back.23.31,vertical,Repairman,Trash,trash,,,,,,,,,,
trashBack.png,card.back.31.36,vertical,Repairman,Trash,trash,,,,,,,,,,
trashBack.png,card.back.32.35,vertical,Repairman,Trash,trash,,,,,,,,,,
trashBack.png,card.back.33.34,vertical,Repairman,Trash,trash,,,,,,,,,,
steamBack.png,card.back.41.09,vertical,Tinkerer,Steam,steam,,,,,,,,,,
steamBack.png,card.back.42.08,vertical,Tinkerer,Steam,steam,,,,,,,,,,
steamBack.png,card.back.43.07,vertical,Tinkerer,Steam,steam,,,,,,,,,,
steamBack.png,card.back.51.12,vertical,Tinkerer,Steam,steam,,,,,,,,,,
steamBack.png,card.back.52.11,vertical,Tinkerer,Steam,steam,,,,,,,,,,
steamBack.png,card.back.53.10,vertical,Tinkerer,Steam,steam,,,,,,,,,,
electricalBack.png,card.back.61.15,vertical,Craftsman,Electrical,electrical,,,,,,,,,,
electricalBack.png,card.back.62.14,vertical,Craftsman,Electrical,electrical,,,,,,,,,,
electricalBack.png,card.back.63.13,vertical,Craftsman,Electrical,electrical,,,,,,,,,,
electricalBack.png,card.back.71.18,vertical,Craftsman,Electrical,electrical,,,,,,,,,,
electricalBack.png,card.back.72.17,vertical,Craftsman,Electrical,electrical,,,,,,,,,,
electricalBack.png,card.back.73.16,vertical,Craftsman,Electrical,electrical,,,,,,,,,,
metalBack.png,card.back.81.21,vertical,Hypnotist,Metal,metal,,,,,,,,,,
metalBack.png,card.back.82.20,vertical,Hypnotist,Metal,metal,,,,,,,,,,
metalBack.png,card.back.83.19,vertical,Hypnotist,Metal,metal,,,,,,,,,,
metalBack.png,card.back.91.24,vertical,Hypnotist,Metal,metal,,,,,,,,,,
metalBack.png,card.back.92.23,vertical,Hypnotist,Metal,metal,,,,,,,,,,
metalBack.png,card.back.93.22,vertical,Hypnotist,Metal,metal,,,,,,,,,,
chemicalBack.png,card.back.101.27,vertical,Transmuter,chemical,chemical,,,,,,,,,,
chemicalBack.png,card.back.102.26,vertical,Transmuter,chemical,chemical,,,,,,,,,,
chemicalBack.png,card.back.103.25,vertical,Transmuter,chemical,chemical,,,,,,,,,,
chemicalBack.png,card.back.111.30,vertical,Transmuter,Chemical,chemical,,,,,,,,,,
chemicalBack.png,card.back.112.29,vertical,Transmuter,Chemical,chemical,,,,,,,,,,
chemicalBack.png,card.back.113.28,vertical,Transmuter,Chemical,chemical,,,,,,,,,,
